"fullname","phonecategory","code","phoneno"
"user17","Emergency","","123456"
"user19","Phone","44","1234567777"
"user11","Phone","91","-"
"user9","Landline","61","235345345435"
"user19","Emergency","","11111112"
"user110","Emergency","","123456666"
"sfsdf","Landline","91","5543"
"43545","Phone","91","353453454353"
"3453","Landline","91","35345345"
"3543","Emergency","","53434"
"user1","Landline","91","35345345435"
"1112","Phone","91","1441334243214"
"user13","Phone","27","12345677789"
"user14","Emergency","","1111111"
"user111","Phone","91","123456777899"
"user112","Landline","61","456456"
"user119","Phone","94","-3534"
